word,book1_count,book2_count,book1_per_10k,book2_per_10k,g2_score,distinctive_to
infinite,0,21,0.0,12.258478781156967,15.14331400638839,Book 2
strong,15,6,20.169423154497782,3.5024225089019905,15.048655666622338,Book 1
effect,10,2,13.44628210299852,1.1674741696339968,14.52829619711665,Book 1
inward,0,20,0.0,11.67474169633997,14.42220381560799,Book 2
honest,6,0,8.067769261799112,0.0,14.339726897008298,Book 1
produce,6,0,8.067769261799112,0.0,14.339726897008298,Book 1
made,6,0,8.067769261799112,0.0,14.339726897008298,Book 1
clean,6,0,8.067769261799112,0.0,14.339726897008298,Book 1
action,6,0,8.067769261799112,0.0,14.339726897008298,Book 1
immortality,0,19,0.0,11.091004611522969,13.70109362482759,Book 2
right,12,4,16.135538523598225,2.3349483392679935,13.569169929336326,Book 1
vision,12,4,16.135538523598225,2.3349483392679935,13.569169929336326,Book 1
heart,13,80,17.480166733898077,46.69896678535988,13.507662654598686,Book 2
shall,15,7,20.169423154497782,4.086159593718989,13.375468750058328,Book 1
mind,24,18,32.27107704719645,10.507267526705972,12.974610227240763,Book 1
holy,1,26,1.344628210299852,15.177164205241958,12.584648656008403,Book 2
dishonest,5,0,6.72314105149926,0.0,11.94977241417358,Book 1
